,Species,Domain,Average Range,Genome_size,Exon_to_genome_ratio
78,Acidiferrobacteraceae_bacterium,bacteria,201274.25,2737491.5,13.600803381455899
79,Acidihalobacter_ferrooxydans,bacteria,1512769.0,3448835.0,2.27981601949802
80,Acidihalobacter_prosperus,bacteria,1332783.0,3484244.6666666665,2.6142625368620895
81,Acidilobus_saccharovorans,bacteria,682532.0,1496453.0,2.192502329561105
82,Acidimicrobiales_bacterium,bacteria,73230.0,2424133.0,33.10300423323774
83,Acidimicrobium_ferrooxidans,bacteria,983231.0,2158157.0,2.194964357307693
84,Acidiphilium_cryptum,bacteria,1626575.0,3963080.0,2.436456972472834
85,Acidiphilium_multivorum,bacteria,1776831.0,4214744.0,2.372056768482765
86,Acidiphilium_rubrum,bacteria,284589.0,3976993.0,13.974514123876888
87,Acidiphilium_sp,bacteria,167744.6,3721677.6,22.18657172868754
88,Acidipila_rosea,bacteria,962475.0,4213726.0,4.378010857424869
89,Acidipila_sp,bacteria,1892038.0,4475085.0,2.365219408912506
90,Acidiplasma_aeolicum,bacteria,39309.0,1762845.5,44.845849550993414
91,Acidiplasma_cupricumulans,bacteria,43787.0,1731076.0,39.5340169456688
92,Acidiplasma_sp,bacteria,461582.0,1747364.0,3.7855982252340863
93,Acidipropionibacterium_acidipropionici,bacteria,1636103.0,3634891.25,2.22167629421864
94,Acidipropionibacterium_jensenii,bacteria,1365646.0,3064342.25,2.243877439687884
95,Acidipropionibacterium_virtanenii,bacteria,1540937.0,3432872.0,2.227782187071892
96,Acidisarcina_polymorpha,bacteria,3137531.0,7600726.0,2.422518215756275
97,Acidithiobacillales_bacterium,bacteria,50427.0,2616358.0,51.88407004184266
98,Acidithiobacillus_caldus,bacteria,932360.0,3115616.6666666665,3.341645573240665
99,Acidithiobacillus_ferridurans,bacteria,1324897.0,2921399.0,2.2050008415748543
100,Acidithiobacillus_ferrivorans,bacteria,433179.25,3050276.5,7.041603447071853
101,Acidithiobacillus_ferrooxidans,bacteria,712053.75,2968130.75,4.168408283784756
102,Acidithiobacillus_sp,bacteria,133143.66666666666,3218855.3333333335,24.175805082730186
103,Acidithiobacillus_sulfuriphilus,bacteria,74009.0,2816858.0,38.06101960572363
104,Acidithiobacillus_thiooxidans,bacteria,91375.5,3833870.0,41.957308031146205
105,Acidobacteria_bacterium,bacteria,143347.22818791945,5135205.785234899,35.82354434159661
106,Acidobacteriales_bacterium,bacteria,1061704.0,4923487.0,4.637344306887796
107,Acidobacterium_capsulatum,bacteria,1830782.0,4127356.0,2.254422427137693
108,Acidobacterium_sp,bacteria,306696.5,3522497.0,11.485285942291483
109,Acidocella_aminolytica,bacteria,150557.0,3984732.0,26.46660068943988
110,Acidocella_sp,bacteria,654943.0,3333803.0,5.090218538101789
111,Acidomonas_methanolica,bacteria,159079.0,3690031.0,23.196216973956336
112,Acidothermus_cellulolyticus,bacteria,1100163.0,2443540.0,2.221070877679035
113,Acidovorax_anthurii,bacteria,217016.0,5469042.0,25.201100379695507
114,Acidovorax_avenae,bacteria,2196348.25,5546095.75,2.5251440658374644
115,Acidovorax_caeni,bacteria,221971.0,4152335.0,18.706655373900194
116,Acidovorax_carolinensis,bacteria,1859804.6666666667,4295128.333333333,2.3094513151381126
117,Acidovorax_cattleyae,bacteria,290578.0,5609245.0,19.303749767704367
118,Acidovorax_cavernicola,bacteria,435978.0,7038667.0,16.144546284445546
119,Acidovorax_citrulli,bacteria,2401067.0,5352772.0,2.2293305434625523
120,Acidovorax_defluvii,bacteria,300689.0,4114188.0,13.682535776167402
121,Acidovorax_delafieldii,bacteria,111514.0,4842094.0,43.421400003586996
122,Acidovorax_ebreus,bacteria,1714759.0,3796573.0,2.2140563192845177
123,Acidovorax_kalamii,bacteria,736218.0,5137998.0,6.978908421146997
124,Acidovorax_konjaci,bacteria,512135.0,5077528.0,9.9144327179357
125,Acidovorax_soli,bacteria,319425.0,4130223.0,12.930180793613525
126,Acidovorax_sp,bacteria,1213748.6666666667,5324443.575757576,4.386776045142989
127,Acidovorax_temperans,bacteria,210279.0,4475784.0,21.284978528526388
128,Acidovorax_valerianellae,bacteria,560038.0,5257076.0,9.386998739371258
129,Acidovorax_wautersii,bacteria,535957.0,5335586.0,9.955250141335965
130,Aciduliprofundum_boonei,bacteria,531573.5,2234291.5,4.203165695806883
131,Aciduliprofundum_sp,bacteria,681158.0,1437090.0,2.1097748246368684
132,Acinetobacter_albensis,bacteria,260464.0,3045904.0,11.694145832053566
133,Acinetobacter_apis,bacteria,756383.0,2413782.0,3.191216619093766
134,Acinetobacter_baumannii,bacteria,386503.32209737826,4175065.8764044945,10.802147453088644
135,Acinetobacter_baylyi,bacteria,1588471.0,3598621.0,2.265462196036314
136,Acinetobacter_beijerinckii,bacteria,1003462.0,3555505.5,3.543238807249303
137,Acinetobacter_bereziniae,bacteria,879033.0,4859721.0,5.528485278709673
138,Acinetobacter_bohemicus,bacteria,553006.0,3693025.5,6.6780930044158655
139,Acinetobacter_boissieri,bacteria,354101.0,2690205.0,7.597281566558694
140,Acinetobacter_bouvetii,bacteria,584276.0,3660393.0,6.2648354544769935
141,Acinetobacter_brisouii,bacteria,1135016.0,3148512.0,2.7739802786921066
142,Acinetobacter_calcoaceticus,bacteria,1090320.6666666667,4018444.111111111,3.6855617195593626
143,Acinetobacter_celticus,bacteria,546784.0,3093802.0,5.658179463919939
144,Acinetobacter_chinensis,bacteria,1584099.0,3737289.0,2.3592521679516243
145,Acinetobacter_colistiniresistens,bacteria,958735.5,4060490.0,4.2352557092128125
146,Acinetobacter_cumulans,bacteria,671435.3333333334,3730483.0,5.555982556771414
147,Acinetobacter_defluvii,bacteria,1551931.0,3812268.0,2.4564674589269755
148,Acinetobacter_equi,bacteria,1324067.0,3054269.0,2.3067329674404693
149,Acinetobacter_gandensis,bacteria,293660.0,3176356.0,10.816440781856569
150,Acinetobacter_genomosp,bacteria,737471.0,4318570.333333333,5.855918854210312
151,Acinetobacter_gerneri,bacteria,679604.0,4595172.0,6.761543487089541
152,Acinetobacter_guerrae,bacteria,304764.0,3541242.0,11.61962042760956
153,Acinetobacter_guillouiae,bacteria,1688797.3333333333,4818824.333333333,2.853405934637509
154,Acinetobacter_gyllenbergii,bacteria,1051388.0,4418039.5,4.202101888170684
155,Acinetobacter_haemolyticus,bacteria,1264000.7,3549100.7,2.8078312773086282
156,Acinetobacter_halotolerans,bacteria,390516.0,3290698.0,8.42653822122525
157,Acinetobacter_idrijaensis,bacteria,223401.0,3846869.0,17.21956929467639
158,Acinetobacter_indicus,bacteria,742453.0,3149801.0,4.2424247730159355
159,Acinetobacter_johnsonii,bacteria,852804.0909090909,3723131.272727273,4.365752125741338
160,Acinetobacter_junii,bacteria,357397.2727272727,3438067.4545454546,9.619736122522175
161,Acinetobacter_kookii,bacteria,570055.0,3085401.0,5.4124619554253535
162,Acinetobacter_kyonggiensis,bacteria,305259.0,3714024.0,12.166796064980884
163,Acinetobacter_lactucae,bacteria,820153.8,3946957.6,4.8124602970808645
164,Acinetobacter_larvae,bacteria,1596990.0,3741098.0,2.3425932535582565
165,Acinetobacter_lwoffii,bacteria,864644.4285714285,3445264.5714285714,3.9846027541296496
166,Acinetobacter_marinus,bacteria,577379.0,2994779.0,5.186851271002236
167,Acinetobacter_nectaris,bacteria,750444.0,2668938.0,3.5564785646897037
168,Acinetobacter_nosocomialis,bacteria,741385.0,4093301.2,5.521154595790311
169,Acinetobacter_oleivorans,bacteria,983845.0,3973902.6666666665,4.039155219233382
170,Acinetobacter_parvus,bacteria,715083.0,2965800.5,4.147491270244154
