Species_name,Domain,Genome_size,Num_exons,Exon_to_genome_ratio
Alteromonas_aestuariivivens,bacteria,3848892,506497,7.59904204763306
Alteromonas_alba,bacteria,5159414,160924,32.0611841614675
Alteromonas_australica,bacteria,4308833,1937771,2.22360278897765
Alteromonas_confluentis,bacteria,4864964,455629,10.6774678521341
Alteromonas_lipolytica,bacteria,5018451,827987,6.06102632046155
Alteromonas_macleodii,bacteria,4720499,1846413,2.55657743661585
Alteromonas_marina,bacteria,4314556,461787,9.3431733678081
Alteromonas_mediterranea,bacteria,4951521,2092701,2.36609076021849
Alteromonas_naphthalenivorans,bacteria,4972148,2187234,2.27325837107507
Alteromonas_pelagimontana,bacteria,4476841,510303,8.77290746869997
Alteromonas_portus,bacteria,4543354,753398,6.03048322400644
Alteromonas_sediminis,bacteria,3963939,894980,4.42908109678429
Alteromonas_sp,bacteria,4628659,1189061,3.89269929527613
Alteromonas_stellipolaris,bacteria,4686200,2084511,2.24810519109758
Altibacter_sp,bacteria,3020166,179755,16.8015688019805
Alysiella_crassa,bacteria,2823591,955265,2.95581958932862
Alysiella_filiformis,bacteria,2385602,196508,12.1399739450811
Amantichitinum_ursilacus,bacteria,4928951,503937,9.78088729345136
Amazona_collaria,ensembl,1258720284,10120975,124.367492657575
Amborella_trichopoda,plants,706332640,5909528,119.524374873932
Amedibacillus_dolichus,bacteria,2190551,230704,9.49509218542415
Aminicella_lysinilytica,bacteria,2286758,100906,22.6622599250788
Aminipila_luticellarii,bacteria,2750839,1236021,2.22556008352609
Aminivibrio_pyruvatiphilus,bacteria,3347494,320080,10.4583041739565
Aminobacter_aminovorans,bacteria,6388803,2530908,2.52431311693533
Aminobacter_sp,bacteria,5535759,1139289,4.85895940362805
Aminobacterium_colombiense,bacteria,1980592,913603,2.16789130508547
Aminomonas_paucivorans,bacteria,2630170,1207480,2.17823069533243
Ammonifex_degensii,bacteria,2157067,982486,2.19551932546622
Ammonifex_thiophilus,bacteria,2111834,297861,7.08999835493737
Ammoniphilus_oxalaticus,bacteria,3319172,679489,4.88480608221767
Ammoniphilus_sp,bacteria,5278793,637127,8.28530732491324
Amnibacterium_flavum,bacteria,3569947,1134660,3.14627024835634
Amnibacterium_kyonggiense,bacteria,3709865,1131266,3.27939229146814
Amnibacterium_setariae,bacteria,3482706,1149344,3.03016851351728
Amnimonas_aquatica,bacteria,1874290,25398,73.7967556500512
Amphibacillus_marinus,bacteria,3468523,519427,6.67759473419749
Amphibacillus_xylanus,bacteria,2569486,1106059,2.32310030477579
Amphilophus_citrinellus,ensembl,844902565,3510573,240.67369201552
Amphiplicatus_metriothermophilus,bacteria,3160729,691136,4.57323739466617
Amphiprion_ocellaris,ensembl,863484803,23623298,36.5522546005219
Amphiprion_percula,ensembl,908939294,22414662,40.5511041835027
Amphritea_atlantica,bacteria,4735181,560325,8.450775888993
Amphritea_balenae,bacteria,4736203,671871,7.04927433986584
Amphritea_opalescens,bacteria,4124452,405513,10.1709488968294
Amycolatopsis_alba,bacteria,9541301,296432,32.1871491606844
Amycolatopsis_albispora,bacteria,9121443,4156876,2.19430240401686
Amycolatopsis_alkalitolerans,bacteria,6781179,391870,17.3046648123102
Amycolatopsis_antarctica,bacteria,6342753,567748,11.1717751537654
Amycolatopsis_arida,bacteria,5955155,864867,6.88563096984854
Amycolatopsis_australiensis,bacteria,9312140,4127686,2.25601947434955
Amycolatopsis_azurea,bacteria,9223451,303686,30.3716700802803
Amycolatopsis_balhimycina,bacteria,10797861,329280,32.7923378279883
Amycolatopsis_coloradensis,bacteria,9049490,738110,12.2603541477558
Amycolatopsis_decaplanina,bacteria,8533276,625720,13.637531164099
Amycolatopsis_eburnea,bacteria,10230128,1211629,8.44328420663421
Amycolatopsis_japonica,bacteria,9053857,4111117,2.2022863859141
Amycolatopsis_keratiniphila,bacteria,9182183,2976201,3.0852030362648
Amycolatopsis_lurida,bacteria,8982270,394852,22.748447519577
Amycolatopsis_marina,bacteria,7020699,593946,11.8204331706923
Amycolatopsis_mediterranei,bacteria,10236747,4628521,2.21166720553576
Amycolatopsis_methanolica,bacteria,7237391,3235726,2.23671318276022
Amycolatopsis_niigatensis,bacteria,9312963,3914418,2.37914371944948
Amycolatopsis_orientalis,bacteria,9490992,4298749,2.20784977210812
Amycolatopsis_panacis,bacteria,6978358,241048,28.9500763333444
Amycolatopsis_pretoriensis,bacteria,10299026,1248322,8.25029599734684
Amycolatopsis_regifaucium,bacteria,8278018,899203,9.20595472098888
Amycolatopsis_rifamycinica,bacteria,9202418,373142,24.6619731898312
Amycolatopsis_rubida,bacteria,9873592,1289793,7.65517567547661
Amycolatopsis_saalfeldensis,bacteria,9861953,813301,12.1258341007819
Amycolatopsis_sacchari,bacteria,7587467,634378,11.9604825514126
Amycolatopsis_sp,bacteria,9156919,1313827,6.96965437148945
Amycolatopsis_suaedae,bacteria,7543886,599563,12.5823074472574
Amycolatopsis_sulphurea,bacteria,6856290,2721126,2.51965179120702
Amycolatopsis_thailandensis,bacteria,9348263,179005,52.2234742046312
Amycolatopsis_thermoflava,bacteria,8225494,3669119,2.24181717736601
Amycolatopsis_tolypomycina,bacteria,10363431,4109420,2.52187194299926
Amycolatopsis_vancoresmycina,bacteria,9036495,78911,114.515023254046
Amycolatopsis_xylanica,bacteria,9406090,1389302,6.77037102084356
Amylibacter_cionae,bacteria,4286347,817509,5.24318019740456
Amylibacter_kogurei,bacteria,2982417,795947,3.74700451160693
Amylolactobacillus_amylophilus,bacteria,1583661,547860,2.89063254356272
Amylolactobacillus_amylotrophicus,bacteria,1548566,372300,4.15945742680634
Anabaena_cylindrica,bacteria,7063285,2724289,2.59270767528702
