Round,Species,Genome Size,Exon Start Range,Exon End Range,Non-Coding Start Range,Non-Coding End Range,Active TEs,TEs Mobilized,TEs Static,TEs in Exons,TEs in Non-Coding,TE Mobilize Probability
23,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190879196,0,554427,554428,1251425870,500,12034,11966,4,12030,0.5
24,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190886931,0,554427,554428,1252679271,500,12280,12220,4,12276,0.5
24,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190889087,0,554427,554428,1253974372,500,12542,12458,4,12538,0.5
25,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190894466,0,554427,554428,1255295977,500,12812,12688,4,12808,0.5
25,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190894566,0,554427,554428,1256529589,500,13057,12943,4,13053,0.5
26,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190900831,0,554427,554428,1257868052,500,13313,13187,4,13309,0.5
26,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190907316,0,554427,554428,1259186466,500,13570,13430,4,13566,0.5
27,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190911910,0,554427,554428,1260529903,500,13840,13660,4,13836,0.5
27,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190918505,0,554427,554428,1261662409,500,14073,13927,4,14069,0.5
28,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190925100,0,554427,554428,1262996571,500,14325,14175,4,14321,0.5
28,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190931327,0,554427,554428,1264221825,500,14575,14425,4,14571,0.5
29,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190933740,0,554427,554428,1265657555,500,14854,14646,4,14850,0.5
29,Accipiter_nisus.Accipiter_nisus_ver1.0.112,1190936065,0,558365,558366,1266863808,500,15097,14903,5,15092,0.5
