Round,Species,GenomeSize,ExonStartRange,ExonEndRange,NoncodingStartRange,NoncodingEndRange,ActiveTE,TEMobilized,TEStatic,TEInExons,TEInNoncoding,TEMobilizeProb
335,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1675000,0,1467,3348533,0.5
595,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2975000,0,2621,5947379,0.5
501,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2505000,0,2219,5007781,0.5
987,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4935000,0,4383,9865617,0.5
414,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2070000,0,1831,4138169,0.5
140,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,700000,0,630,1399370,0.5
456,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2280000,0,2017,4557983,0.5
635,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3175000,0,2809,6347191,0.5
225,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1125000,0,998,2249002,0.5
3,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,15000,0,17,29983,0.5
787,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3935000,0,3475,7866525,0.5
334,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1670000,0,1467,3338533,0.5
556,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2780000,0,2419,5557581,0.5
677,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3385000,0,2998,6767002,0.5
381,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1905000,0,1680,3808320,0.5
325,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1625000,0,1428,3248572,0.5
398,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1990000,0,1763,3978237,0.5
840,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4200000,0,3716,8396284,0.5
830,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4150000,0,3683,8296317,0.5
38,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,190000,0,199,379801,0.5
80,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,400000,0,377,799623,0.5
627,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3135000,0,2774,6267226,0.5
907,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4535000,0,4030,9065970,0.5
117,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,585000,0,531,1169469,0.5
732,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3660000,0,3225,7316775,0.5
925,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4625000,0,4106,9245894,0.5
454,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2270000,0,2006,4537994,0.5
299,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1495000,0,1309,2988691,0.5
126,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,630000,0,568,1259432,0.5
479,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2395000,0,2130,4787870,0.5
486,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2430000,0,2152,4857848,0.5
311,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1555000,0,1367,3108633,0.5
357,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1785000,0,1565,3568435,0.5
344,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1720000,0,1506,3438494,0.5
432,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2160000,0,1905,4318095,0.5
653,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3265000,0,2886,6527114,0.5
961,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4805000,0,4281,9605719,0.5
674,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3370000,0,2985,6737015,0.5
707,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3535000,0,3124,7066876,0.5
759,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3795000,0,3365,7586635,0.5
394,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1970000,0,1741,3938259,0.5
201,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1005000,0,883,2009117,0.5
68,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,340000,0,324,679676,0.5
366,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1830000,0,1614,3658386,0.5
34,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,170000,0,180,339820,0.5
690,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,3450000,0,3041,6896959,0.5
161,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,805000,0,726,1609274,0.5
67,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,335000,0,321,669679,0.5
228,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,1140000,0,1006,2278994,0.5
905,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4525000,0,4018,9045982,0.5
962,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4810000,0,4286,9615714,0.5
949,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4745000,0,4216,9485784,0.5
421,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,2105000,0,1856,4208144,0.5
928,Accipiter_nisus,1190649881,0,533365,533366,1190649881,10000,4640000,0,4121,9275879,0.5
